Class,date,plant.stand,precip,temp,hail,crop.hist,area.dam,sever,seed.tmt,germ,plant.growth,leaves,leaf.halo,leaf.marg,leaf.size,leaf.shread,leaf.malf,leaf.mild,stem,lodging,stem.cankers,canker.lesion,fruiting.bodies,ext.decay,mycelium,int.discolor,sclerotia,fruit.pods,fruit.spots,seed,mold.growth,seed.discolor,seed.size,shriveling,roots
diaporthe-stem-canker,6.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,4.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,6.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,5.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,5.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,4.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,6.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
diaporthe-stem-canker,4.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
